text,severity
"Estou me sentindo completamente isolado e desconectado das pessoas, seja de forma virtual ou real. Meus amigos virtuais não conversam comigo de forma profunda e eu me sinto incompreendido. Acreditei que não precisava de amigos para ser saudável, mas a realidade é que eles são fundamentais. Sinto falta de um amigo verdadeiro para compartilhar experiências e conversas significativas. Tentei encontrar pessoas em minha cidade, mas não parece que isso está funcionando. Estou começando a me sentir como um depressivo que passa a vida jogando e não tem vida social.",0
"Atualmente, estou em dúvida se sofro de ansiedade social ou não. Se puder, vou perguntar à minha madrasta esta noite, já que gostamos de assistir TV à noite lá embaixo com uma xícara de chá, mas isso se ela não for para a cama imediatamente. Sei que estou com muito medo e vou acabar congelando para pedir que ela fique aqui embaixo. Quero contar para minha madrasta porque sei que ela vai contar para meu pai; eu não conseguiria contar para mais ninguém, exceto para minha avó. Estou em uma situação realmente difícil agora, pois quero ver um médico ou terapeuta sobre isso, mas preciso contar para alguém primeiro.",0
"Eu não tenho ideia. Eu medito duas vezes ao dia, corro todas as manhãs, como de forma muito saudável, amo absolutamente minha vida e estou seguindo minha paixão. No entanto, sou atingido por uma ansiedade física aleatória o tempo todo. Não tenho pensamentos negativos ou algo assim, é puramente físico. Uma sensação muito desconfortável no meu peito.",0
"Eu (30F) casei com meu marido (31M) há cerca de 6 meses, depois de namorarmos por 2 anos e nos conhecermos por cerca de 14. Quando começamos a nos relacionar, eu tinha uma carreira muito bem-sucedida na indústria adulta e o sustentei por quase 2 anos antes de ele conseguir um emprego. Ele sabia o que eu fazia antes de começarmos a nos relacionar, porque eu estava na indústria há anos e todo mundo em casa sabia. Ele me disse várias vezes que aceitava isso e que me amava independentemente. No entanto, ele tem sido muito abusivo, sempre culpando meu trabalho anterior e agora que me aposentei desde o nosso casamento, ele usa meu passado contra mim em todas as brigas.",0
"Talvez 2-3 brigas malucas, mas nada sério. Joe voltou, na verdade, Joe passou cerca de um ano me pedindo para sair com ele e meu instinto não concordava, simplesmente parecia errado. Agora, não me entenda mal, eu amo Joe desde os 17 anos, mas eu sentia que isso não seria certo. Pedi a Joe por um ano, estudei longe, e era meu último ano na faculdade, pedi a Joe para me dar aquele ano. Mas Joe disse que não. Joe fez aquele discurso de ""eu mudei"", que toda garota provavelmente já ouviu um bilhão de vezes na vida, mas ainda assim acha que é algo novo.",0
"Recentemente, tive que ficar no apartamento dele por uma semana, pois o meu estava sendo reformado. Eu expressei a ele que não queria que nossa semana vivendo juntos ""abalasse as coisas"" e ele disse que não abalaria. Fui lá outro dia e ele disse que precisa de espaço e basicamente me mandou embora. Sinto que estou sufocando ele. Ele nunca mencionou quais medicamentos estava tomando antes, mas sei que ele parou de tomá-los desde que nos mudamos.",0
"Momento frustrante original: <url> Estou escrevendo isso para que vocês vejam com que tipo de pessoas estou lidando! Liguei para a organização sem fins lucrativos esta manhã para perguntar se posso usar outro documento de identificação em vez da minha certidão de nascimento, porque obter uma certidão de nascimento no departamento de registros da minha cidade custa $28, o que eu não tenho. Pedi para falar com a moça com quem conversei ontem, pois ela saberia qual é a minha situação, mas o senhor que atendeu o telefone me disse que ela nem o supervisor estavam lá e que eu deveria ligar de volta na segunda-feira e falar com a Cassandra ou o supervisor dela para remarcar minha consulta que estava agendada para esta manhã. Ok, eu disse e desliguei.",0
"A comida que normalmente compramos custa $8, incluindo impostos. Isso alimentaria eles por um mês, o que nos daria tempo para acertar as contas e para meus salários se estabilizarem. Eu tenho PayPal e posso definitivamente incluir o comprovante de compra se alguém estiver disposto a ajudar. Agradeço sinceramente a todos que estão lendo. Edit: [adicionado uma lista de desejos da Amazon] <url>",0
"Pós-post: não se preocupe com esta parte que está riscada, eu não estava pensando claramente. Não que você deva se preocupar com as partes posteriores também. Eu não sei. Texto Pós-Post: eu deletei isso da minha conta principal e estou repostando em uma conta alternativa porque me deixou nervoso ter isso conectado a mim. Desculpe.",0
"A participação leva aproximadamente 5 minutos, ajuda a alcançar minha meta de amostra e gera resultados interessantes para você! Após conceder acesso a alguns dados do smartphone (descrições mais detalhadas são fornecidas dentro do aplicativo), você precisará preencher uma pesquisa. É isso! Quaisquer dados coletados serão, é claro, processados de forma anônima. A única exigência é ter um smartphone com Android 4.4 ou mais recente.",0
